,TORYN'S TALENTED TEAM,DOMINICK'S DARING TEAM,AUSTIN'S ASTOUNDING TEAM,KRISTIAN'S TOP-NOTCH TEAM,LAWRENCE'S LOUD TEAM,JOHN'S SCARY TEAM,ZACHARY'S HONORABLE TEAM,BUTCH'S BEST TEAM
QB,Brock Purdy,Josh Allen,Justin Herbert,Jordan Love,Joe Burrow,Patrick Mahomes,Lamar Jackson,Jalen Hurts
RB,Christian McCaffrey,Breece Hall,Alvin Kamara,Travis Etienne Jr.,Bijan Robinson,Jahmyr Gibbs,Kyren Williams,Jonathan Taylor
RB,Josh Jacobs,James Cook,De'Von Achane,Kenneth Walker III,Saquon Barkley,Derrick Henry,Joe Mixon,Rachaad White
WR,Davante Adams,Puka Nacua,CeeDee Lamb,Tyreek Hill,DK Metcalf,Justin Jefferson,Ja'Marr Chase,A.J. Brown
WR,Amon-Ra St. Brown,Garrett Wilson,Chris Olave,Stefon Diggs,Calvin Ridley,Brandon Aiyuk,Mike Evans,Tank Dell
TE,Evan Engram,David Njoku,Mark Andrews,Travis Kelce,Sam LaPorta,Trey McBride,George Kittle,Dallas Goedert
FLEX,DJ Moore,Drake London,Deebo Samuel Sr.,Cooper Kupp,Isiah Pacheco,Marvin Harrison Jr.,Nico Collins,Rashee Rice
DST,Browns D/ST,Jets D/ST,Cowboys D/ST,49ers D/ST,Dolphins D/ST,Bengals D/ST,Ravens D/ST,Steelers D/ST
K,Justin Tucker,Evan McPherson,Younghoe Koo,Ka'imi Fairbairn,Greg Zuerlein,Jake Elliott,Brandon Aubrey,Harrison Butker
BE,Amari Cooper,Michael Pittman Jr.,Tee Higgins,Tony Pollard,Jaylen Waddle,DeVonta Smith,Zay Flowers,C.J. Stroud
BE,Rhamondre Stevenson,Malik Nabers,Keenan Allen,George Pickens,Anthony Richardson,Chris Godwin,Jake Ferguson,Aaron Jones
BE,Kyle Pitts,Zack Moss,DeAndre Hopkins,David Montgomery,Najee Harris,D'Andre Swift,Dak Prescott,Jonathon Brooks
BE,Nick Chubb,Kyler Murray,Jordan Addison,Christian Watson,Zamir White,Diontae Johnson,Terry McLaurin,Brian Robinson Jr.
BE,Raheem Mostert,Mike Williams,James Conner,Javonte Williams,Brock Bowers,Dalton Kincaid,Aaron Rodgers,Blake Corum
BE,Rome Odunze,Christian Kirk,Austin Ekeler,Courtland Sutton,Xavier Worthy,Marquise Brown,Jayden Reed,Dalton Schultz
BE,Jaguars D/ST,Gus Edwards,Tyler Lockett,Tua Tagovailoa,Tyjae Spears,Devin Singletary,Jaylen Warren,Jameson Williams
