Date,Redraft PPR ADP,Redraft SF ADP,Redraft Half PPR ADP,Player Team,Player First Name,Player Last Name,Fantasy Player Position,Positional Rank
21-Aug-24,1.2,2.8,1.5,SF,Christian,McCaffrey,RB,RB1
21-Aug-24,2.7,6.1,2.1,MIA,Tyreek,Hill,WR,WR1
21-Aug-24,3.1,5.1,3.9,DAL,CeeDee,Lamb,WR,WR2
21-Aug-24,4.9,9.7,4.3,MIN,Justin,Jefferson,WR,WR3
21-Aug-24,5.6,10.5,5.6,CIN,Ja'Marr,Chase,WR,WR4
21-Aug-24,6.5,13.5,6.1,ATL,Bijan,Robinson,RB,RB2
21-Aug-24,6.8,11.1,6.2,DET,Amon-Ra,St. Brown,WR,WR5
21-Aug-24,8.8,12.3,8.6,NYJ,Breece,Hall,RB,RB3
21-Aug-24,9.1,15.2,9.1,PHI,A.J.,Brown,WR,WR6
21-Aug-24,11.7,20.5,13.3,NYJ,Garrett,Wilson,WR,WR7
21-Aug-24,12.6,22.5,12.1,PHI,Saquon,Barkley,RB,RB4
21-Aug-24,12.7,18.8,10.3,DET,Jahmyr,Gibbs,RB,RB5
21-Aug-24,13.9,23.9,11.8,IND,Jonathan,Taylor,RB,RB6
21-Aug-24,15.4,23.1,14,ARI,Marvin,Harrison,WR,WR8
21-Aug-24,16.9,28.4,17.8,LAR,Kyren,Williams,RB,RB7
21-Aug-24,17.3,17.7,15.9,LAR,Puka,Nacua,WR,WR9
21-Aug-24,17.6,33.5,20.7,LV,Davante,Adams,WR,WR10
21-Aug-24,18.4,30.7,16.3,JAX,Travis,Etienne,RB,RB8
21-Aug-24,19.7,31.6,19.4,ATL,Drake,London,WR,WR11
21-Aug-24,20.5,34.4,18.6,BAL,Derrick,Henry,RB,RB9
21-Aug-24,20.8,27.9,25.6,KC,Travis,Kelce,TE,TE1
21-Aug-24,22.2,1.5,20.2,BUF,Josh,Allen,QB,QB1
21-Aug-24,23.4,31.8,22.6,NO,Chris,Olave,WR,WR12
21-Aug-24,24.8,26.6,30,DET,Sam,LaPorta,TE,TE2
21-Aug-24,25,44.2,23,MIA,De'Von,Achane,RB,RB10
21-Aug-24,26.6,35.6,26.4,SF,Brandon,Aiyuk,WR,WR13
21-Aug-24,27.5,41.3,24,GB,Josh,Jacobs,RB,RB11
21-Aug-24,27.6,45.6,27.4,KC,Isiah,Pacheco,RB,RB12
21-Aug-24,29.4,42.1,29.9,TB,Mike,Evans,WR,WR14
21-Aug-24,30.7,3.3,32.8,KC,Patrick,Mahomes,QB,QB2
21-Aug-24,31.1,53.5,33.5,HOU,Nico,Collins,WR,WR15
21-Aug-24,32.2,52.3,34.7,HOU,Stefon,Diggs,WR,WR16
21-Aug-24,33.3,55.3,27.4,SF,Deebo,Samuel,WR,WR17
21-Aug-24,34.4,7.8,36.3,BAL,Lamar,Jackson,QB,QB3
21-Aug-24,34.7,4.4,31.3,PHI,Jalen,Hurts,QB,QB4
21-Aug-24,36,46.7,34.9,MIA,Jaylen,Waddle,WR,WR18
21-Aug-24,37.1,54.7,38.6,CHI,DJ,Moore,WR,WR19
21-Aug-24,38.5,48,37.6,TB,Rachaad,White,RB,RB13
21-Aug-24,39,55.4,39.1,LAR,Cooper,Kupp,WR,WR20
21-Aug-24,40.8,43.7,44.7,IND,Michael,Pittman,WR,WR21
21-Aug-24,41.1,58.8,40.2,BUF,James,Cook,RB,RB14
21-Aug-24,41.4,8,46.2,HOU,C.J.,Stroud,QB,QB5
21-Aug-24,43.1,59,41.9,SEA,DK,Metcalf,WR,WR22
21-Aug-24,44,57.2,42,NYG,Malik,Nabers,WR,WR23
21-Aug-24,45.8,47.5,48.3,BAL,Mark,Andrews,TE,TE3
21-Aug-24,46,39.4,48.2,ARI,Trey,McBride,TE,TE4
21-Aug-24,47.7,63.7,43.2,HOU,Joe,Mixon,RB,RB15
21-Aug-24,48,63.6,50.9,NO,Alvin,Kamara,RB,RB16
21-Aug-24,48.7,60.6,47.3,PHI,DeVonta,Smith,WR,WR24
21-Aug-24,50.6,62.5,45.1,SEA,Kenneth,Walker,RB,RB17
21-Aug-24,51.6,49.8,51.3,BUF,Dalton,Kincaid,TE,TE5
21-Aug-24,52.7,70.9,52.7,BAL,Zay,Flowers,WR,WR25
21-Aug-24,53.2,69.3,58.9,SF,George,Kittle,TE,TE6
21-Aug-24,54,73.4,54.9,HOU,Tank,Dell,WR,WR26
21-Aug-24,55.3,61.1,61.3,ATL,Kyle,Pitts,TE,TE7
21-Aug-24,56,14.6,53.7,IND,Anthony,Richardson,QB,QB6
21-Aug-24,57,71.3,60.8,PIT,George,Pickens,WR,WR27
21-Aug-24,58.8,74.8,55.8,MIN,Aaron,Jones,RB,RB18
21-Aug-24,59.6,66.4,55.2,CLE,Amari,Cooper,WR,WR28
21-Aug-24,60.1,71.5,57.3,CIN,Tee,Higgins,WR,WR29
21-Aug-24,61.2,15.6,62.3,CIN,Joe,Burrow,QB,QB7
21-Aug-24,62.1,78.6,64.1,CHI,D'Andre,Swift,RB,RB19
21-Aug-24,62.5,84.1,59.7,ARI,James,Conner,RB,RB20
21-Aug-24,64.3,77.2,65.5,CHI,Keenan,Allen,WR,WR30
21-Aug-24,65.8,82.7,62.8,DET,David,Montgomery,RB,RB21
21-Aug-24,66.6,76.1,67.7,JAX,Christian,Kirk,WR,WR31
21-Aug-24,67.6,68.2,71.6,JAX,Evan,Engram,TE,TE8
21-Aug-24,68.7,81.1,68,WAS,Terry,McLaurin,WR,WR32
