"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","50.1","14.2","10.9","16.6","3.1","0.0","347.1","5,447.8","118.8"
"Baltimore Ravens","","50.9","14.2","11.0","16.5","2.7","0.0","323.9","5,269.2","117.2"
"New York Jets","","47.8","14.5","9.5","15.5","2.8","1.0","338.9","5,160.2","114.8"
"Philadelphia Eagles","","50.9","13.1","10.3","15.1","2.5","0.0","382.2","5,584.5","112.3"
"Houston Texans","","49.1","13.3","10.7","15.5","2.4","0.5","393.3","5,710.5","112.2"
"Kansas City Chiefs","","50.0","12.1","10.0","15.8","2.7","0.5","337.8","5,286.9","111.5"
"Pittsburgh Steelers","","48.5","13.6","9.8","15.8","2.7","0.0","352.0","5,618.9","111.4"
"San Francisco 49ers","","44.3","15.1","9.4","13.8","2.7","0.5","326.7","5,499.5","110.5"
"Cleveland Browns","","47.5","13.4","9.2","14.4","2.9","0.0","358.4","5,232.4","109.8"
"Buffalo Bills","","46.0","13.4","10.7","18.0","2.4","0.5","349.1","5,608.3","109.2"
"Indianapolis Colts","","49.0","12.4","9.9","15.8","2.4","0.5","410.3","5,694.0","109.2"
"Miami Dolphins","","47.2","12.4","10.4","18.0","2.5","0.5","376.9","5,517.3","108.4"
"Cincinnati Bengals","","47.3","13.2","10.0","15.6","2.4","0.0","365.7","5,765.1","108.1"
"Los Angeles Chargers","","45.9","11.5","10.6","18.1","2.4","0.5","384.5","5,707.6","105.3"
"Jacksonville Jaguars","","41.2","13.0","10.9","16.2","2.7","0.0","383.9","5,638.8","105.2"
"Green Bay Packers","","43.9","13.3","9.2","14.7","2.4","0.5","381.6","5,799.5","104.7"
"Atlanta Falcons","","45.9","12.4","9.3","13.8","2.4","0.5","377.1","5,370.4","104.6"
"Washington Commanders","","47.8","11.5","9.9","15.7","2.1","0.5","431.7","5,760.8","104.6"
"New York Giants","","41.6","12.3","11.4","19.3","2.5","0.0","398.6","5,814.6","104.1"
"New Orleans Saints","","41.9","13.4","10.0","14.4","2.5","0.0","362.7","5,538.4","103.9"
"Seattle Seahawks","","45.1","12.6","9.5","14.3","2.2","0.5","394.5","5,826.8","103.1"
"Tampa Bay Buccaneers","","45.3","11.5","10.1","18.0","2.4","0.0","374.2","5,676.1","103.0"
"Las Vegas Raiders","","44.7","11.3","9.5","15.2","2.6","0.5","386.8","5,653.9","102.6"
"Denver Broncos","","41.7","11.3","11.1","18.9","2.4","0.5","407.1","5,967.3","101.5"
"Chicago Bears","","38.1","14.7","8.9","13.2","2.4","0.5","372.4","5,543.4","101.1"
"Detroit Lions","","40.9","13.4","9.1","12.8","2.2","0.5","401.3","5,843.5","100.4"
"Minnesota Vikings","","43.3","11.9","9.6","17.1","2.1","0.0","405.1","5,654.3","99.0"
"Los Angeles Rams","","41.1","13.1","8.2","11.9","2.2","0.5","406.8","5,855.3","97.5"
"Tennessee Titans","","43.5","11.1","9.2","12.9","2.1","0.0","394.1","5,703.0","96.6"
"Arizona Cardinals","","38.3","11.9","8.8","13.3","2.3","0.0","427.0","6,041.1","93.5"
"New England Patriots","","34.9","12.3","9.3","13.9","2.3","0.0","410.8","5,660.8","92.1"
"Carolina Panthers","","36.4","11.6","8.3","11.3","2.2","0.0","403.8","5,574.5","89.5"
""
""
