"Player","Team","FG","FGA","XPT","FPTS"
"Justin Tucker","BAL","29.4","33.2","41.6","129.7"
"Harrison Butker","KC","26.9","31.6","48.4","129.2"
"Tyler Bass","BUF","27.6","32.2","43.6","126.3"
"Cameron Dicker","LAC","27.7","32.1","42.5","125.6"
"Jake Elliott","PHI","26.0","30.1","46.6","124.5"
"Daniel Carlson","LV","29.7","33.0","34.8","123.9"
"Younghoe Koo","ATL","29.3","32.8","35.5","123.4"
"Jason Myers","SEA","27.3","31.2","40.2","122.1"
"Evan McPherson","CIN","27.4","32.2","39.9","122.1"
"Greg Joseph","GB","27.3","32.8","38.0","120.0"
"Jake Moody","SF","26.8","32.0","39.4","119.7"
"Brandon McManus","WAS","28.4","33.5","33.9","119.0"
"Riley Patterson","JAC","25.9","30.5","41.1","118.9"
"Greg Zuerlein","NYJ","28.1","34.4","33.7","117.9"
"Brandon Aubrey","DAL","26.2","31.4","38.5","117.1"
"Jason Sanders","MIA","26.7","31.9","36.8","116.9"
"Dustin Hopkins","CLE","25.4","30.6","39.1","115.4"
"Graham Gano","NYG","27.2","30.2","32.4","114.2"
"Cairo Santos","CHI","26.5","30.0","33.4","112.8"
"Wil Lutz","DEN","26.2","32.3","34.1","112.7"
"Chris Boswell","PIT","27.1","32.1","31.4","112.6"
"Matt Gay","IND","26.5","29.8","32.4","112.0"
"Ka'imi Fairbairn","HOU","26.6","30.5","31.7","111.4"
"Blake Grupe","NO","24.5","29.4","36.2","109.6"
"Eddy Pineiro","CAR","26.2","29.7","30.2","108.8"
"Nick Folk","TEN","24.0","28.4","36.0","108.1"
"Chad Ryland","NE","25.4","29.8","31.5","107.6"
"Anders Carlson","GB","23.9","28.6","35.5","107.1"
"Matt Prater","ARI","24.5","28.5","31.4","104.8"
"Chase McLaughlin","TB","23.6","28.0","32.7","103.4"
"Joey Slye","JAC","25.1","29.6","26.6","101.8"
"Lucas Havrisik","CLE","22.6","26.7","33.8","101.6"
"Brett Maher","LAR","18.9","21.3","19.9","76.7"
"Michael Badgley","DET","0.0","0.0","0.0","0.0"
"Cade York","CLE","0.0","0.0","0.0","0.0"
"Randy Bullock","NYG","0.0","0.0","0.0","0.0"
"Mason Crosby","NYG","0.0","0.0","0.0","0.0"
""
""
