"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Jalen Hurts","PHI","504.2","327.0","3,729.0","25.0","14.1","135.3","562.3","11.5","4.2","351.9"
"Josh Allen","BUF","528.4","345.6","3,783.4","27.0","14.2","109.4","564.0","9.3","4.0","349.3"
"Patrick Mahomes II","KC","581.7","391.7","4,282.5","32.6","11.5","69.6","379.3","1.0","2.7","328.6"
"Lamar Jackson","BAL","458.0","299.0","3,512.7","25.6","12.1","124.2","738.3","4.9","4.6","324.7"
"Dak Prescott","DAL","563.8","381.5","4,161.2","30.3","13.6","53.4","229.0","2.0","2.7","303.7"
"Joe Burrow","CIN","575.6","388.3","4,212.4","29.8","12.2","51.5","161.7","2.3","2.6","300.3"
"C.J. Stroud","HOU","535.1","347.2","4,132.0","28.9","9.9","42.8","171.8","2.8","4.0","296.6"
"Jordan Love","GB","516.3","336.1","3,821.2","30.6","11.8","47.9","197.5","2.8","3.0","294.0"
"Anthony Richardson","IND","498.5","316.6","3,493.3","19.8","11.4","117.7","538.4","6.9","5.5","292.0"
"Kyler Murray","ARI","534.9","357.7","3,590.6","22.7","12.8","85.3","462.2","4.6","2.3","291.1"
"Brock Purdy","SF","473.3","320.1","4,056.3","28.6","10.4","45.4","165.2","2.2","2.5","290.8"
"Jayden Daniels","WAS","530.9","332.4","3,539.2","21.5","16.8","108.9","573.7","4.6","4.1","287.2"
"Justin Herbert","LAC","534.1","348.6","3,794.1","26.5","9.4","62.3","263.1","2.7","2.5","286.2"
"Trevor Lawrence","JAC","548.8","364.5","3,872.8","24.2","12.7","64.2","295.0","4.1","5.2","282.3"
"Caleb Williams","CHI","518.8","334.6","3,595.8","25.5","15.1","72.8","359.1","3.6","4.5","279.1"
"Deshaun Watson","CLE","535.9","327.2","3,823.7","23.8","14.8","69.5","349.5","2.3","4.2","273.7"
"Kirk Cousins","ATL","525.3","344.3","4,017.2","27.4","9.1","35.4","114.1","1.8","5.3","273.1"
"Baker Mayfield","TB","556.0","352.2","3,964.2","26.4","12.0","51.7","156.4","1.1","3.4","267.7"
"Jared Goff","DET","546.5","373.1","4,088.5","26.6","10.1","32.5","46.3","1.4","3.2","266.6"
"Tua Tagovailoa","MIA","523.6","357.2","4,165.1","25.9","13.0","37.0","103.6","0.5","4.2","262.2"
"Aaron Rodgers","NYJ","538.6","352.4","3,761.6","25.8","9.5","31.1","92.1","2.0","2.5","260.2"
"Matthew Stafford","LAR","545.8","349.2","4,101.3","25.6","13.2","25.3","66.0","0.5","1.7","259.0"
"Geno Smith","SEA","503.8","334.4","3,646.6","24.4","12.1","45.6","205.4","1.7","3.1","256.1"
"Derek Carr","NO","535.5","356.8","3,871.3","26.9","11.1","31.5","71.3","0.3","3.4","253.2"
"Daniel Jones","NYG","486.3","313.7","3,198.0","17.0","12.8","98.8","522.1","3.5","3.9","248.6"
"Will Levis","TEN","498.3","318.1","3,578.1","19.8","13.9","49.0","171.7","2.0","4.8","227.9"
"J.J. McCarthy","MIN","483.7","310.3","3,370.6","19.7","13.2","38.7","186.6","1.5","2.4","223.5"
"Bryce Young","CAR","514.4","318.1","3,284.6","20.1","11.8","42.0","248.8","0.9","3.7","222.7"
"Russell Wilson","PIT","414.8","261.8","2,877.2","16.9","9.6","64.5","283.0","3.5","3.7","215.2"
"Bo Nix","DEN","443.0","278.9","2,908.9","18.7","11.4","48.2","202.7","1.4","3.3","201.7"
"Drake Maye","NE","421.9","268.5","2,737.2","14.8","13.7","52.2","241.8","1.8","2.5","184.7"
"Gardner Minshew II","LV","350.6","219.9","2,384.1","13.2","9.4","25.6","78.3","1.3","2.8","148.4"
"Aidan O'Connell","LV","204.7","129.2","1,399.3","7.3","5.2","16.1","41.2","0.7","1.4","85.0"
"Taysom Hill","NO","5.0","4.0","38.0","0.0","0.0","80.0","406.0","6.0","1.0","76.1"
"Justin Fields","PIT","98.4","60.5","664.8","3.8","2.7","36.3","192.1","1.1","1.3","62.3"
"Sam Darnold","MIN","128.8","81.9","881.6","5.5","3.5","9.6","28.0","0.3","0.6","57.0"
"Jacoby Brissett","NE","128.3","82.5","826.1","4.8","4.3","11.9","50.4","0.2","0.8","52.4"
"Jarrett Stidham","DEN","101.1","63.9","681.6","4.3","3.0","12.7","47.2","0.2","0.9","45.3"
"Sean Clifford","GB","66.4","42.1","463.8","3.5","1.7","7.0","26.5","0.2","0.5","33.7"
"Case Keenum","HOU","71.7","44.5","474.4","3.7","1.8","5.9","19.4","0.2","0.6","33.7"
"Hendon Hooker","DET","68.2","44.3","463.0","2.9","1.7","6.1","25.7","0.3","0.5","31.9"
"Sam Howell","SEA","61.6","40.0","435.7","2.7","1.9","7.5","36.6","0.4","0.3","31.5"
"Mason Rudolph","TEN","75.0","45.9","489.9","2.4","1.8","6.5","22.6","0.2","0.6","29.6"
"Nathan Peterman","NO","65.5","40.5","428.1","2.9","1.8","5.9","24.3","0.2","0.5","29.2"
"Drew Lock","NYG","65.5","40.8","452.3","2.2","2.0","6.9","28.9","0.3","0.3","28.6"
"Jake Browning","CIN","47.8","31.0","336.6","2.3","1.5","5.4","25.5","0.3","0.2","25.1"
"Carson Wentz","KC","48.6","30.8","326.9","2.6","1.4","5.2","22.5","0.2","0.3","24.7"
"Mitchell Trubisky","BUF","45.7","29.7","308.2","2.0","1.4","8.0","31.1","0.5","0.2","24.2"
"Joshua Dobbs","SF","40.6","26.9","305.0","2.2","0.8","6.0","28.7","0.3","0.4","23.9"
"Cooper Rush","DAL","48.2","30.5","337.9","2.4","1.4","5.7","10.0","0.1","0.3","22.9"
"Marcus Mariota","WAS","46.8","29.1","319.7","1.5","1.5","8.3","44.1","0.3","0.4","22.7"
"Jimmy Garoppolo","LAR","44.3","29.2","345.1","2.3","1.4","3.7","12.2","0.1","0.2","22.7"
"Tyson Bagent","CHI","45.3","29.6","315.7","2.0","1.4","5.8","25.7","0.2","0.3","22.6"
"Josh Johnson","BAL","42.7","26.7","293.6","1.9","1.4","8.8","37.0","0.3","0.3","22.5"
"Tyrod Taylor","NYJ","45.3","28.3","296.8","2.2","0.9","5.7","26.9","0.1","0.3","22.4"
"Kenny Pickett","PHI","43.8","28.6","309.5","2.0","1.2","7.1","24.8","0.2","0.2","22.4"
"Mac Jones","JAC","46.6","31.4","335.0","2.0","1.4","5.4","18.6","0.1","0.2","21.8"
"Easton Stick","LAC","43.3","26.4","286.9","2.0","0.8","6.1","30.2","0.1","0.3","21.6"
"Michael Penix Jr.","ATL","42.5","26.5","297.9","2.3","0.9","3.4","12.6","0.1","0.3","21.4"
"Jameis Winston","CLE","46.6","27.9","317.5","1.7","1.4","6.5","23.1","0.1","0.2","20.7"
"Kyle Trask","TB","44.7","26.9","286.9","2.1","0.9","5.5","15.2","0.1","0.3","20.7"
"Andy Dalton","CAR","45.4","29.1","304.1","1.8","0.9","4.7","18.6","0.1","0.2","20.6"
"Desmond Ridder","ARI","46.8","30.4","319.6","1.6","1.3","5.7","24.3","0.3","0.9","20.3"
"Mike White","MIA","47.2","30.1","328.7","1.7","1.6","4.2","7.8","0.1","0.2","19.2"
"Joe Flacco","IND","42.8","26.5","290.5","1.6","0.8","5.0","19.1","0.1","0.8","18.1"
"Davis Mills","HOU","22.0","13.0","156.0","1.0","0.0","4.0","14.0","0.0","0.0","11.6"
"Trey Lance","DAL","24.0","15.0","159.0","1.0","1.0","5.0","18.0","0.0","0.0","11.2"
"Gavin Hardison","MIA","16.0","11.0","129.0","1.0","0.0","2.0","9.0","0.0","0.0","10.1"
"Michael Pratt","GB","16.0","11.0","121.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"Spencer Rattler","NO","17.0","11.0","120.0","1.0","0.0","2.0","8.0","0.0","0.0","9.6"
"Carter Bradley","LV","16.0","10.0","106.0","1.0","0.0","2.0","7.0","0.0","0.0","8.9"
"Nathan Rourke","NYG","15.0","10.0","96.0","1.0","0.0","2.0","8.0","0.0","0.0","8.6"
"Malik Cunningham","BAL","0.0","0.0","0.0","0.0","0.0","1.0","5.0","0.0","0.0","0.5"
""
""
