"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","262.0","1,250.7","11.5","69.6","570.9","5.4","1.6","280.6"
"Breece Hall","NYJ","228.1","998.7","8.4","71.7","601.0","5.3","1.1","239.7"
"Saquon Barkley","PHI","265.6","1,118.2","10.9","48.9","373.4","4.2","1.5","236.8"
"Bijan Robinson","ATL","220.6","1,034.2","6.6","66.8","588.1","6.1","2.3","234.0"
"Jonathan Taylor","IND","283.5","1,283.0","10.8","37.6","295.6","1.7","1.1","230.7"
"Kyren Williams","LAR","252.4","1,169.0","11.3","34.8","258.8","2.4","1.6","221.6"
"Derrick Henry","BAL","258.2","1,182.8","11.8","26.1","226.4","0.6","0.9","213.3"
"Josh Jacobs","GB","267.8","1,075.4","9.5","35.9","287.2","0.7","1.1","194.9"
"Joe Mixon","HOU","244.6","940.0","8.6","42.7","329.5","2.9","0.8","194.5"
"Isiah Pacheco","KC","226.2","999.8","9.6","44.8","274.7","2.0","1.6","193.8"
"Jahmyr Gibbs","DET","190.8","903.0","9.1","56.8","398.6","1.7","1.6","191.9"
"De'Von Achane","MIA","160.2","868.2","7.9","44.9","352.2","3.7","0.9","190.3"
"Travis Etienne Jr.","JAC","236.1","930.1","9.0","48.3","385.3","1.1","0.9","190.0"
"James Cook","BUF","239.3","1,063.9","4.7","44.9","388.6","2.7","1.6","186.1"
"Rachaad White","TB","218.9","869.2","7.2","53.7","421.9","2.4","1.6","183.4"
"Kenneth Walker III","SEA","226.5","935.3","10.2","30.0","237.4","0.9","0.9","182.4"
"Raheem Mostert","MIA","175.1","817.4","9.9","25.6","175.6","2.1","1.0","169.4"
"Alvin Kamara","NO","186.4","739.2","5.5","71.1","506.9","1.9","0.9","167.2"
"David Montgomery","DET","208.1","891.6","9.8","22.9","172.8","0.4","0.9","165.6"
"James Conner","ARI","195.4","887.2","6.9","35.1","236.7","2.0","0.8","164.2"
"Zamir White","LV","231.5","1,049.7","5.0","34.2","238.9","0.4","1.5","158.3"
"Najee Harris","PIT","228.6","926.6","6.9","28.0","175.9","1.1","0.9","156.7"
"Aaron Jones","MIN","172.4","778.4","5.0","48.2","368.6","2.0","1.0","154.2"
"Brian Robinson Jr.","WAS","188.4","782.8","5.4","31.6","286.5","2.6","1.7","151.2"
"D'Andre Swift","CHI","190.6","870.7","4.5","39.4","266.1","1.7","1.0","149.1"
"Jonathon Brooks","CAR","200.4","856.2","6.2","28.8","229.5","1.1","1.9","148.5"
"Zack Moss","CIN","178.3","774.8","6.4","32.5","223.1","2.0","0.8","148.5"
"Nick Chubb","CLE","199.5","905.4","5.5","26.6","216.5","0.8","0.8","148.1"
"Rhamondre Stevenson","NE","194.3","783.9","5.5","46.0","318.9","0.5","1.0","144.1"
"Austin Ekeler","WAS","126.2","520.8","5.7","49.9","432.5","2.6","2.0","141.0"
"Tony Pollard","TEN","196.2","809.3","5.7","33.8","219.8","0.5","0.9","138.3"
"J.K. Dobbins","LAC","145.3","663.3","5.0","33.7","256.4","2.6","0.9","136.1"
"Javonte Williams","DEN","191.4","751.2","4.1","43.6","247.2","1.6","0.9","132.2"
"Devin Singletary","NYG","192.3","835.8","4.8","33.2","197.6","0.3","0.9","131.9"
"Gus Edwards","LAC","177.0","695.4","7.9","16.0","160.0","0.3","1.5","131.5"
"Ezekiel Elliott","DAL","171.0","638.4","5.7","34.6","232.1","1.5","0.9","128.4"
"Jaylen Warren","PIT","129.8","655.6","3.6","52.6","355.2","1.2","1.6","126.4"
"Tyjae Spears","TEN","129.6","560.5","3.0","46.3","363.6","1.4","0.8","116.9"
"Chase Brown","CIN","112.3","508.1","3.0","37.0","346.4","2.2","0.8","115.4"
"Tyler Allgeier","ATL","137.8","561.9","4.5","22.6","199.0","1.5","0.7","111.0"
"Ty Chandler","MIN","134.5","590.8","5.2","22.2","161.1","0.3","0.7","107.3"
"Trey Benson","ARI","135.6","622.4","4.5","17.8","137.5","0.9","1.8","104.5"
"Jerome Ford","CLE","127.3","511.2","3.0","30.3","216.5","2.4","0.7","103.8"
