"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","88.9","959.8","7.5","0.8","140.3"
"Sam LaPorta","DET","86.3","891.3","7.7","0.4","134.6"
"Mark Andrews","BAL","71.9","869.3","7.9","0.5","133.3"
"George Kittle","SF","65.2","881.4","6.0","0.4","123.3"
"Trey McBride","ARI","86.0","879.8","5.1","0.5","117.3"
"Kyle Pitts","ATL","67.9","871.0","5.2","0.4","117.3"
"Dalton Kincaid","BUF","82.3","821.8","5.4","0.8","112.9"
"Jake Ferguson","DAL","70.7","736.8","5.9","0.4","108.2"
"David Njoku","CLE","69.8","772.5","5.5","1.2","107.7"
"Evan Engram","JAC","85.4","786.9","4.4","0.9","103.1"
"Brock Bowers","LV","62.9","696.1","4.6","1.1","95.0"
"Dallas Goedert","PHI","65.5","690.7","4.0","0.5","92.3"
"Dalton Schultz","HOU","56.9","607.8","4.9","0.8","88.4"
"Taysom Hill","NO","28.8","272.3","2.1","0.4","87.9"
"Pat Freiermuth","PIT","54.8","572.5","4.1","0.5","81.2"
"Hunter Henry","NE","48.4","500.0","4.3","0.1","75.4"
"Cole Kmet","CHI","50.9","503.4","4.2","0.5","74.6"
"T.J. Hockenson","MIN","56.1","561.3","3.2","0.8","73.6"
"Tyler Conklin","NYJ","53.3","532.2","3.3","0.1","73.0"
"Cade Otton","TB","49.3","490.0","3.8","0.4","70.7"
"Luke Musgrave","GB","47.5","497.4","3.4","0.1","70.2"
"Juwan Johnson","NO","41.7","453.9","4.1","0.1","70.0"
"Isaiah Likely","BAL","35.2","423.2","4.1","0.1","66.8"
"Chigoziem Okonkwo","TEN","48.2","513.2","2.7","0.4","66.7"
"Noah Fant","SEA","45.9","488.6","2.8","0.1","65.3"
"Jonnu Smith","MIA","37.8","417.0","2.9","0.4","58.1"
"Hayden Hurst","LAC","40.6","390.8","2.9","0.1","56.0"
"Mike Gesicki","CIN","35.9","352.8","3.1","0.1","53.8"
"Ben Sinnott","WAS","36.8","373.7","2.4","0.4","51.2"
"Zach Ertz","WAS","37.9","349.2","2.7","0.1","50.8"
"Dawson Knox","BUF","28.3","297.4","3.3","0.1","49.3"
"Tucker Kraft","GB","32.7","341.5","2.5","0.1","49.0"
"Greg Dulcich","DEN","33.5","377.0","1.9","0.1","48.8"
"Theo Johnson","NYG","35.6","345.7","2.3","0.6","47.4"
"Kylen Granson","IND","31.0","333.6","2.1","0.1","45.7"
"Gerald Everett","CHI","32.5","302.0","2.6","0.1","45.4"
"Tyler Higbee","LAR","31.8","323.9","2.0","0.1","44.5"
"Ja'Tavion Sanders","CAR","29.9","311.0","2.3","0.4","44.1"
"Michael Mayer","LV","29.0","313.0","2.0","0.1","43.1"
"Colby Parkinson","LAR","27.8","293.6","2.3","0.1","42.8"
"Tommy Tremble","CAR","27.5","261.6","2.5","0.1","40.8"
"Daniel Bellinger","NYG","31.4","297.5","1.8","0.1","40.3"
"Noah Gray","KC","22.7","237.7","1.7","0.1","34.1"
"Will Dissly","LAC","24.8","238.6","1.6","0.1","33.2"
"Mo Alie-Cox","IND","17.3","193.9","2.0","0.0","31.6"
"Brevin Jordan","HOU","14.6","183.8","1.7","0.0","28.6"
"Josh Oliver","MIN","19.7","190.6","1.4","0.4","26.8"
"Durham Smythe","MIA","19.6","191.4","1.3","0.0","26.8"
"Jaheim Bell","NE","16.5","172.5","1.5","0.0","26.3"
"Adam Trautman","DEN","17.3","168.4","1.5","0.0","26.0"
"Brock Wright","DET","17.1","163.2","1.6","0.1","26.0"
"Tanner Hudson","CIN","17.8","171.4","1.4","0.0","25.3"
"Austin Hooper","NE","19.4","184.1","0.9","0.0","23.9"
"Jeremy Ruckert","NYJ","16.7","165.9","1.2","0.1","23.8"
"Donald Parham Jr.","DEN","14.4","150.6","1.4","0.0","23.7"
"Elijah Higgins","ARI","16.3","177.6","1.0","0.0","23.6"
"Johnny Mundt","MIN","18.4","174.1","1.0","0.1","23.5"
"Robert Tonyan","MIN","15.0","153.0","1.0","0.0","21.3"
"Darnell Washington","PIT","15.5","151.7","0.9","0.0","20.6"
"Luke Schoonmaker","DAL","12.4","123.9","1.3","0.0","20.0"
"Josh Whyle","TEN","12.5","127.7","1.1","0.0","19.2"
"Davis Allen","LAR","12.6","129.2","1.0","0.0","18.7"
"Foster Moreau","NO","11.6","128.6","1.0","0.0","18.6"
"Jordan Akins","CLE","12.5","124.7","1.0","0.1","18.5"
"Devin Culp","TB","12.0","124.0","1.0","0.0","18.4"
"Tanner McLachlan","CIN","12.0","122.5","1.0","0.0","18.3"
"Pharaoh Brown","SEA","11.5","126.4","0.9","0.0","18.0"
"Will Mallory","IND","12.1","126.9","0.9","0.0","17.9"
"AJ Barner","SEA","11.6","118.3","0.9","0.0","17.1"
"Stone Smartt","LAC","10.6","117.8","0.9","0.0","17.1"
"Connor Heyward","PIT","14.6","130.5","0.7","0.0","17.1"
"Jared Wiley","KC","11.0","112.6","0.9","0.0","16.8"
"Drew Ogletree","IND","9.5","114.3","0.8","0.0","16.4"
"Ian Thomas","CAR","12.7","129.5","0.6","0.0","16.3"
"Travis Vokolek","ARI","11.0","102.0","1.0","0.0","16.2"
"Jack Stoll","PHI","9.0","95.0","1.0","0.0","15.5"
"Brenton Strange","JAC","9.7","92.1","1.0","0.0","15.2"
"Cade Stover","HOU","10.0","105.8","0.8","0.0","15.2"
"Erick All Jr.","CIN","10.3","103.0","0.8","0.0","15.0"
"Cameron Latu","CLE","13.0","88.0","1.0","0.0","14.8"
"Tip Reiman","ARI","10.2","99.1","0.8","0.0","14.7"
"Lucas Krull","DEN","9.6","103.5","0.7","0.0","14.7"
"Albert Okwuegbunam Jr.","PHI","8.0","82.0","1.0","0.0","14.2"
"Dallin Holker","NO","9.3","95.4","0.8","0.0","14.1"
"Payne Durham","TB","9.2","96.8","0.7","0.0","14.0"
"Drew Sample","CIN","10.5","94.3","0.8","0.0","14.0"
"MyCole Pruitt","PIT","6.5","67.1","1.0","0.0","12.7"
"Grant Calcaterra","PHI","8.5","85.8","0.7","0.0","12.6"
"Luke Farrell","JAC","8.7","87.9","0.7","0.0","12.6"
"Ross Dwelley","ATL","6.0","83.6","0.7","0.0","12.3"
"Quintin Morris","BUF","6.2","65.5","0.9","0.0","11.8"
"Peyton Hendershot","KC","7.7","77.3","0.6","0.0","11.6"
"Harrison Bryant","LV","7.8","73.9","0.7","0.0","11.6"
"Brenden Bates","NYJ","7.4","71.0","0.7","0.0","11.0"
"Hunter Long","LAR","6.3","64.7","0.7","0.0","10.4"
"John Bates","WAS","8.1","76.0","0.4","0.0","10.0"
"Marcedes Lewis","CHI","6.9","59.2","0.7","0.0","9.9"
"Ben Sims","GB","5.6","49.5","0.8","0.0","9.9"
"John Stephens Jr.","DAL","6.2","63.9","0.5","0.0","9.4"
"Charlie Kolar","BAL","5.8","63.5","0.4","0.0","8.8"
"Ko Kieft","TB","4.8","46.1","0.6","0.0","8.4"
"Brady Russell","SEA","5.0","48.5","0.6","0.0","8.4"
"Nate Adkins","DEN","5.4","47.6","0.6","0.0","8.2"
"Julian Hill","MIA","6.8","63.9","0.6","1.0","8.0"
"Eric Saubert","SF","6.9","57.2","0.3","0.0","7.4"
"Charlie Woerner","ATL","7.3","58.3","0.3","0.0","7.3"
"Anthony Firkser","NYJ","4.4","41.4","0.3","0.0","5.9"
"Parker Hesse","DET","3.7","36.8","0.3","0.0","5.2"
"Josiah Deguara","JAC","5.0","51.0","0.0","0.0","5.1"
"Nick Muse","MIN","3.7","35.8","0.3","0.0","5.0"
"Chris Manhertz","NYG","5.4","46.8","0.1","0.0","5.0"
"Kenny Yeboah","NYJ","3.0","28.6","0.2","0.0","4.2"
"Teagan Quitoriano","HOU","2.0","22.3","0.2","0.0","3.3"
"Stephen Carlson","CHI","2.0","19.4","0.2","0.0","3.0"
"Tommy Hudson","NO","2.0","19.3","0.2","0.0","2.9"
"Jake Tonges","SF","1.8","17.4","0.2","0.0","2.8"
"Mitchell Wilcox","NE","3.4","24.4","0.0","0.0","2.7"
""
""
