"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"CeeDee Lamb","DAL","118.4","1,528.0","9.4","12.3","84.4","0.9","1.1","220.9"
"Tyreek Hill","MIA","106.7","1,483.9","9.3","5.1","24.4","0.1","0.9","205.2"
"Ja'Marr Chase","CIN","102.3","1,326.4","9.2","3.8","11.1","0.1","0.5","188.4"
"Amon-Ra St. Brown","DET","110.8","1,338.9","8.7","4.8","31.7","0.1","0.9","188.4"
"Justin Jefferson","MIN","105.8","1,466.6","7.0","2.5","3.7","0.1","1.0","187.5"
"Puka Nacua","LAR","94.4","1,344.9","6.5","11.7","75.5","0.3","0.5","181.7"
"A.J. Brown","PHI","90.9","1,313.1","8.5","0.0","0.5","0.0","1.5","179.6"
"Deebo Samuel Sr.","SF","63.6","954.8","5.8","35.9","193.8","3.4","0.9","168.2"
"Garrett Wilson","NYJ","90.5","1,174.0","8.1","4.2","12.3","0.1","1.5","164.9"
"Mike Evans","TB","73.5","1,125.6","8.7","0.0","0.5","0.0","0.2","164.6"
"Nico Collins","HOU","76.3","1,144.2","8.3","1.0","4.0","0.0","0.3","163.7"
"Chris Olave","NO","87.3","1,221.7","6.5","0.0","0.0","0.0","0.3","160.4"
"DK Metcalf","SEA","68.7","1,051.8","9.1","0.0","0.5","0.0","0.3","159.3"
"Marvin Harrison Jr.","ARI","88.8","1,210.6","6.8","1.0","5.5","0.0","1.7","158.9"
"Davante Adams","LV","94.6","1,194.8","6.6","0.0","0.0","0.0","0.3","158.6"
"Brandon Aiyuk","SF","72.5","1,134.9","7.4","0.5","2.0","0.0","0.8","156.4"
"DJ Moore","CHI","75.6","1,047.2","7.9","3.0","17.3","0.5","0.8","155.3"
"Cooper Kupp","LAR","83.7","1,050.9","7.3","2.5","11.0","0.1","0.3","149.4"
"Tee Higgins","CIN","67.4","1,009.4","8.1","0.0","0.0","0.0","0.3","149.2"
"Drake London","ATL","84.4","1,123.9","6.4","0.0","0.0","0.0","0.9","149.2"
"Tank Dell","HOU","66.5","921.1","7.9","15.0","77.6","0.3","0.5","148.1"
"DeVonta Smith","PHI","80.8","1,064.8","7.2","0.0","0.0","0.0","0.9","148.0"
"Amari Cooper","CLE","71.7","1,118.1","6.2","0.0","0.0","0.0","0.9","147.3"
"Calvin Ridley","TEN","68.0","956.2","7.9","5.7","19.5","0.1","0.3","144.8"
"Zay Flowers","BAL","78.7","967.6","6.3","9.0","53.7","0.8","0.9","142.8"
"Jaylen Waddle","MIA","78.6","1,077.8","5.3","4.1","23.4","0.1","0.3","142.0"
"Stefon Diggs","HOU","84.2","1,037.5","6.4","1.5","7.9","0.0","1.0","141.0"
"George Pickens","PIT","61.4","1,024.8","5.7","3.8","27.8","0.1","0.9","138.2"
"Christian Watson","GB","51.3","785.1","8.8","6.2","33.0","0.7","0.3","138.1"
"DeAndre Hopkins","TEN","69.3","943.7","6.9","0.5","3.0","0.0","0.3","135.2"
"Jayden Reed","GB","60.1","745.2","6.5","11.3","96.1","1.8","0.4","133.3"
"Michael Pittman Jr.","IND","97.4","1,081.1","4.4","0.5","5.0","0.0","1.0","133.0"
"Chris Godwin","TB","79.6","949.6","5.2","3.5","25.8","0.6","0.3","131.9"
"Malik Nabers","NYG","73.3","1,002.8","5.2","1.0","5.0","0.0","1.2","129.3"
