Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Jalen Hurts,PHI,QB,335.3,95.32,95.32,205.2,Jalen,Hurts,PHI,4.3
Josh Allen,BUF,QB,335.55999999999995,95.58,95.58,205.46,Josh,Allen,BUF,1.8
Patrick Mahomes,KC,QB,317.17999999999995,77.2,77.2,187.08,Patrick,Mahomes,KC,3.0
Lamar Jackson,BAL,QB,312.32,72.34,72.34,182.22,Lamar,Jackson,BAL,6.6
Dak Prescott,DAL,QB,291.34,51.36,51.36,161.24,Dak,Prescott,DAL,19.5
Joe Burrow,CIN,QB,284.47999999999996,44.5,44.5,154.38,Joe,Burrow,CIN,13.1
Anthony Richardson,IND,QB,282.5,42.52,42.52,152.4,Anthony,Richardson,IND,15.7
CJ Stroud,HOU,QB,280.59999999999997,40.62,40.62,150.5,C.J.,Stroud,HOU,6.1
Jordan Love,GB,QB,276.58,36.6,36.6,146.48,Jordan,Love,GB,24.5
Kyler Murray,ARI,QB,277.86,37.88,37.88,147.76,Kyler,Murray,ARI,20.2
Brock Purdy,SF,QB,278.74,38.76,38.76,148.64,Brock,Purdy,SF,27.6
Jayden Daniels,WAS,QB,267.98,28.0,28.0,137.88,Jayden,Daniels,WAS,52.9
Trevor Lawrence,JAX,QB,270.46000000000004,30.48,30.48,140.36,Trevor,Lawrence,JAX,45.6
Justin Herbert,LAC,QB,266.20000000000005,26.22,26.22,136.1,Justin,Herbert,LAC,34.2
Caleb Williams,CHI,QB,259.58000000000004,19.6,19.6,129.48,Caleb,Williams,CHI,34.8
Deshaun Watson,CLE,QB,255.74,15.76,15.76,125.64,Deshaun,Watson,CLE,85.4
Kirk Cousins,ATL,QB,258.08000000000004,18.1,18.1,127.98,Kirk,Cousins,ATL,62.9
Jared Goff,DET,QB,256.28,16.3,16.3,126.18,Jared,Goff,DET,38.0
Baker Mayfield,TB,QB,253.98000000000002,14.0,14.0,123.88,Baker,Mayfield,TB,76.8
Tua Tagovailoa,MIA,QB,242.94,2.96,2.96,112.84,Tua,Tagovailoa,MIA,37.3
Aaron Rodgers,NYJ,QB,249.72,9.74,9.74,119.62,Aaron,Rodgers,NYJ,75.6
Matthew Stafford,LAR,QB,242.72,2.74,2.74,112.62,Matthew,Stafford,LAR,65.9
Geno Smith,SEA,QB,234.32000000000002,-5.66,-5.66,104.22,Geno,Smith,SEA,101.2
Derek Carr,NO,QB,239.98,0.0,0.0,109.88,Derek,Carr,NO,116.1
Daniel Jones,NYG,QB,236.24,-3.74,-3.74,106.14,Daniel,Jones,NYG,129.1
Will Levis,TEN,QB,214.3,-25.68,-25.68,84.2,Will,Levis,TEN,100.6
JJ McCarthy,MIN,QB,205.35999999999999,-34.62,-34.62,75.26,J.J.,McCarthy,MIN,99.8
Bryce Young,CAR,QB,208.16000000000003,-31.82,-31.82,78.06,Bryce,Young,CAR,117.5
Russell Wilson,PIT,QB,201.38,-38.6,-38.6,71.28,Russell,Wilson,PIT,124.3
Bo Nix,DEN,QB,186.39999999999998,-53.58,-53.58,56.3,Bo,Nix,DEN,132.8
Drake Maye,NE,QB,165.58,-74.4,-74.4,35.48,Drake,Maye,NE,121.4
Gardner Minshew,LV,QB,139.12,-100.86,-100.86,9.02,Gardner,Minshew,LV,146.7
Aidan O'Connell,LV,QB,76.06,-163.92,-163.92,-54.04,Aidan,O'Connell,LV,199.8
Taysom Hill,NO,QB,76.02000000000001,-163.96,-163.96,-54.08,Taysom,Hill,NO,156.6
Justin Fields,PIT,QB,57.760000000000005,-182.22,-182.22,-72.34,Justin,Fields,PIT,149.8
Sam Darnold,MIN,QB,52.04,-187.94,-187.94,-78.06,Sam,Darnold,MIN,181.7
Jacoby Brissett,NE,QB,46.0,-193.98,-193.98,-84.1,Jacoby,Brissett,NE,205.9
Jarrett Stidham,DEN,QB,41.900000000000006,-198.08,-198.08,-88.2,Jarrett,Stidham,DEN,264.6
Sean Clifford,GB,QB,31.12,-208.86,-208.86,-98.98,,,,300.0
Case Keenum,HOU,QB,30.86,-209.12,-209.12,-99.24,,,,300.0
Hendon Hooker,DET,QB,27.02,-212.96,-212.96,-103.08,Hendon,Hooker,DET,300.0
Sam Howell,SEA,QB,27.000000000000004,-212.98,-212.98,-103.1,Sam,Howell,SEA,215.7
